Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"12174 Shepherds Hill Ln, Frisco, TX 75035",Frisco,2.5,3,420000,2527,75035
"4617 Chandler Dr, Frisco, TX 75034",Frisco,2,3,399000,2102,75034
"7599 Petersburgh Pl, Frisco, TX 75035",Frisco,2,3,375000,1785,75035
"3493 Mayflower Dr, Frisco, TX 75034",Frisco,2,4,399900,2319,75034
"5145 Shoreline Dr, Frisco, TX 75034",Frisco,3.5,4,950000,4344,75034
"11185 Pagewynne Dr, Frisco, TX 75035",Frisco,2,3,385000,1650,75035
"13459 Hansel St, Frisco, TX 75035",Frisco,4,4,750000,3416,75035
"8079 Canal St, Frisco, TX 75034",Frisco,2.5,2,425000,1751,75034
"12 Armstrong Dr, Frisco, TX 75034",Frisco,4.5,4,1875000,5992,75034
"6274 DOUGLAS Ave, Frisco, TX 75034",Frisco,6,5,1595000,6488,75034
"7617 Sonoma Valley Dr, Frisco, TX 75035",Frisco,2,3,294000,1586,75035
"11016 Blue Bay Dr, Frisco, TX 75035",Frisco,2,4,435000,2349,75035
"4573 Shamrock Dr, Frisco, TX 75034",Frisco,3,4,399000,2427,75034
"13392 Mondovi Dr, Frisco, TX 75033",Frisco,2.5,4,419900,2895,75033
"7161 Greystone Ln, Frisco, TX 75034",Frisco,4.5,5,930000,4750,75034
"10613 Brendenberg Dr, Frisco, TX 75035",Frisco,2,3,329900,1806,75035
"11930 Gonzales Dr, Frisco, TX 75035",Frisco,3.5,4,419618,3412,75035
"8326 Hamilton Ln, Frisco, TX 75036",Frisco,4.5,4,587500,3793,75036
"11462 Henderson Dr, Frisco, TX 75035",Frisco,2.5,4,415000,2700,75035
"5517 Baton Rouge Blvd, Frisco, TX 75035",Frisco,2.5,4,347000,2300,75035
"13232 Dolomite Dr, Frisco, TX 75035",Frisco,6,5,880000,4878,75035
"1916 Abbeygale Dr, McKinney, TX 75071",McKinney,3,4,445000,2949,75071
"3721 Moorcroft Rd, Frisco, TX 75036",Frisco,2.5,4,370000,2476,75036
"2918 Fargo Dr, Frisco, TX 75033",Frisco,3.5,4,495000,2977,75033
"9153 Apollo Ct, Frisco, TX 75033",Frisco,2,3,360000,1919,75033
"7114 Quarry Chop Dr, Frisco, TX 75035",Frisco,4,6,600000,4087,75035
"9367 N County Rd, Frisco, TX 75033",Frisco,3,4,950000,2689,75033
"14691 Blakehill Dr, Frisco, TX 75035",Frisco,4.5,5,550000,3803,75035
"10944 Prescott Dr, Frisco, TX 75033",Frisco,4,5,435000,2832,75033
"6257 Culverdale Ln, Frisco, TX 75034",Frisco,3.5,4,625000,3034,75034
"9775 Bell Rock Rd, Frisco, TX 75035",Frisco,2,3,360000,1906,75035
