,Address,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
0,"5395 Statesman Ln, Frisco, TX 75036",5.0,5.0,780000.0,4482.0,75036
1,"11509 Parade Dr, Frisco, TX 75036",2.0,4.0,325000.0,2018.0,75036
2,"12759 Blue Ridge Dr, Frisco, TX 75033",3.0,4.0,400000.0,3196.0,75033
3,"13003 Michelle Dr, Frisco, TX 75035",2.0,3.0,274900.0,1660.0,75035
4,"1186 Shortgrass Ln, Frisco, TX 75033",3.5,4.0,489900.0,3576.0,75033
5,"7684 Traveller St, Frisco, TX 75034",4.5,4.0,895000.0,4370.0,75034
6,"3527 Sevilla Dr, Frisco, TX 75034",3.5,3.0,498000.0,2616.0,75034
7,"1880 Hollow Falls Ct, Frisco, TX 75036",3.0,4.0,495000.0,3706.0,75036
8,"10710 Ambergate Ln, Frisco, TX 75035",2.0,3.0,329900.0,1780.0,75035
9,"8230 Kentland Dr, Frisco, TX 75034",2.5,3.0,489900.0,2477.0,75034
10,"4411 Whispering Lake Dr, Frisco, TX 75036",3.0,4.0,499000.0,3374.0,75036
11,"4701 Ray Roberts Dr, Frisco, TX 75036",2.5,4.0,327888.0,2143.0,75036
12,"8213 Presidio Dr, Frisco, TX 75033",2.0,3.0,357000.0,2489.0,75033
13,"12471 Hawk Creek Dr, Frisco, TX 75033",3.0,4.0,385000.0,3148.0,75033
14,"10809 Sexton Dr, McKinney, TX 75072",4.0,5.0,499999.0,3631.0,75072
15,"15150 Catalpa Rd, Frisco, TX 75035",3.0,4.0,500000.0,2293.0,75035
16,"1170 Shortgrass Ln, Frisco, TX 75033",3.0,4.0,449900.0,2516.0,75033
17,"6468 Stallion Ranch Rd, Frisco, TX 75036",3.0,5.0,565000.0,3187.0,75036
18,"13334 Ignatius Dr, Frisco, TX 75035",4.5,5.0,880000.0,4963.0,75035
19,"14271 Sorano Dr, Frisco, TX 75035",4.0,5.0,565000.0,4350.0,75035
20,"4867 Corinthian Bay Dr, Frisco, TX 75034",3.5,4.0,510000.0,3455.0,75034
21,"2261 April Sound Ln, Frisco, TX 75033",3.5,4.0,489000.0,3895.0,75033
22,"2269 Mustang Trl, Frisco, TX 75033",3.5,4.0,615000.0,4009.0,75033
23,"1254 Hazel Grn, Frisco, TX 75033",4.0,5.0,429900.0,4243.0,75033
24,"7780 Arches Ln, Frisco, TX 75035",5.5,5.0,679000.0,4312.0,75035
25,"5734 Country View Ln, Frisco, TX 75036",3.5,4.0,399000.0,3354.0,75036
26,"1250 Gray Fox Ln, Frisco, TX 75033",2.5,3.0,468848.0,2622.0,75033
27,"2330 Soaring Star Ln, Frisco, TX 75036",3.5,4.0,440000.0,3279.0,75036
28,"11367 Mansfield Dr, Frisco, TX 75035",2.0,3.0,339000.0,2579.0,75035
29,"1407 Scarlet Ln, Frisco, TX 75033",2.5,3.0,420000.0,2148.0,75033
30,"12606 Grayhawk Blvd, Frisco, TX 75033",3.5,4.0,499950.0,4498.0,75033
31,"1180 Bayfield Dr, Frisco, TX 75033",3.5,4.0,485000.0,3730.0,75033
32,"13829 Tahoe Ln, Frisco, TX 75035",4.0,5.0,415000.0,3816.0,75035
33,"3046 Kentshire Ln, Frisco, TX 75034",4.0,5.0,639000.0,5001.0,75034
34,"6732 Rambling Trl, Frisco, TX 75034",4.0,5.0,539900.0,4209.0,75034
35,"12288 Tamarack Trl, Frisco, TX 75035",3.5,4.0,465990.0,3734.0,75035
36,"14708 Ireland Ln, Frisco, TX 75035",4.5,5.0,574900.0,3973.0,75035
37,"7909 Tatum Dr, Frisco, TX 75036",2.0,2.0,259900.0,1307.0,75036
38,"2167 Quail Meadow Ln, Frisco, TX 75036",3.5,4.0,399000.0,2988.0,75036
39,"8002 Hickory Branch Dr, Frisco, TX 75034",4.0,5.0,435000.0,2792.0,75034
40,"2891 Sage Ridge Dr, Frisco, TX 75034",4.0,4.0,525000.0,3395.0,75034
41,"2627 Douglas Ave #132, Dallas, TX 75219",1.0,1.0,124995.0,769.0,75219
42,"130 N Edgefield Ave, Dallas, TX 75208",2.0,4.0,635000.0,2484.0,75208
43,"4109 Lafayette St, Dallas, TX 75204",3.5,3.0,410000.0,1879.0,75204
44,"925 Hollywood Ave, Dallas, TX 75208",1.0,3.0,229900.0,1252.0,75208
45,"3955 Buena Vista St Unit A, Dallas, TX 75204",1.5,2.0,275000.0,999.0,75204
46,"305 Cosbie Dr, Irving, TX 75063",2.0,3.0,345000.0,2020.0,75063
47,"9408 Thornberry Ln, Dallas, TX 75220",2.0,3.0,299900.0,1390.0,75220
48,"3339 San Jacinto St, Dallas, TX 75204",2.0,2.0,349900.0,1072.0,75204
49,"3206 Camelot Dr, Dallas, TX 75229",2.5,4.0,498000.0,2189.0,75229
50,"4522 Stigall Dr, Dallas, TX 75209",1.0,2.0,225000.0,980.0,75209
51,"5312 Tennington Park, Dallas, TX 75287",3.5,5.0,900000.0,4429.0,75287
52,"7708 Royal Ln #205, Dallas, TX 75230",2.0,2.0,145000.0,1161.0,75230
53,"1543 Serenade Ln, Dallas, TX 75241",2.0,3.0,199000.0,1781.0,75241
54,"7307 Kaywood Dr, Dallas, TX 75209",1.0,2.0,425000.0,1013.0,75209
55,"5818 E University Blvd #130, Dallas, TX 75206",2.0,2.0,195000.0,945.0,75206
56,"1407 Glenfield Ave, Dallas, TX 75224",2.0,2.0,325000.0,1836.0,75224
57,"4031 Holland Ave Unit G, Dallas, TX 75219",1.0,1.0,232500.0,800.0,75219
58,"3609 Patience Blvd, Dallas, TX 75236",2.0,4.0,324990.0,2067.0,75236
59,"2210 Tosca Ln, Dallas, TX 75224",2.0,3.0,245000.0,2048.0,75224
60,"9963 Constance St, Dallas, TX 75220",2.0,3.0,250000.0,1355.0,75220
61,"3812 Belton Dr, Dallas, TX 75287",2.5,3.0,395000.0,2275.0,75287
62,"12830 Midway Rd #2127, Dallas, TX 75244",1.5,1.0,135000.0,732.0,75244
63,"5120 Tremont St, Dallas, TX 75214",4.5,4.0,950000.0,3810.0,75214
64,"9752 Burney Dr, Dallas, TX 75243",2.5,3.0,379900.0,2409.0,75243
65,"7417 Silverthorn Dr, Rowlett, TX 75089",2.0,3.0,295000.0,2194.0,75089
66,"13219 Emily Rd #4211, Dallas, TX 75240",1.0,1.0,136900.0,839.0,75240
67,"5227 Homer St, Dallas, TX 75206",2.0,3.0,599750.0,2150.0,75206
68,"9703 Robin Hill Cir, Dallas, TX 75238",2.5,3.0,475000.0,1889.0,75238
69,"6404 Everglade Rd, Dallas, TX 75227",2.0,3.0,260000.0,1835.0,75227
70,"1916 Lake Front Trl, Garland, TX 75043",4.0,5.0,389000.0,3148.0,75043
71,"2630 Calvin St #101, Dallas, TX 75204",2.5,2.0,425000.0,1817.0,75204
72,"11311 Goddard Ct, Dallas, TX 75218",2.5,3.0,549000.0,3434.0,75218
73,"4017 Buena Vista St #104, Dallas, TX 75204",2.5,2.0,360000.0,1183.0,75204
74,"3511 Dickason Ave #2, Dallas, TX 75219",2.5,2.0,435000.0,2201.0,75219
75,"6406 La Manga Dr, Dallas, TX 75248",3.0,4.0,659500.0,2600.0,75248
76,"3030 Bryan St #205, Dallas, TX 75204",1.5,1.0,360000.0,1313.0,75204
77,"5917 Hollis Ave, Dallas, TX 75227",1.0,2.0,190000.0,985.0,75227
78,"4318 Vandelia St, Dallas, TX 75219",2.0,2.0,600000.0,1749.0,75219
79,"7118 Winding Creek Rd, Dallas, TX 75252",3.5,5.0,829900.0,4141.0,75252
80,"3915 Buena Vista St Unit B, Dallas, TX 75204",1.5,2.0,289000.0,1053.0,75204
81,"7410 Wild Valley Dr, Dallas, TX 75231",2.0,2.0,379000.0,1479.0,75231
